"issue","closedAt","pr","fate","clause","title"
"21963","2026-04-20T10:52:27Z",,"EXCLUDED","4d not closed-as-completed","Cannot import correction of a script after the first import fail"
"21947","2026-04-17T13:37:58Z","21948","EXCLUDED","2a no test file in diff","Comment in MAC-Adress entry is not saved"
"21893","2026-04-16T20:48:16Z","21931","SURVIVOR","","Permission Scope Issues"
"21538","2026-04-15T21:01:21Z","21919","SURVIVOR","","Contact Group ""Contacts"" count is wrong in case of multi-assignment to nested groups"
"21913","2026-04-15T19:29:19Z","21928","EXCLUDED","2a no test file in diff","Plugin template extensions missing on VRF and other declarative-layout views"
"21683","2026-04-15T17:45:28Z","21921","EXCLUDED","2a no test file in diff","Import patchpanel module with mapping"
"21737","2026-04-15T17:17:00Z","21920","SURVIVOR","","Erroneous custom scripts get registered in database, but there is no visible option to remove them"
"21783","2026-04-13T17:03:48Z","21873","SURVIVOR","","Cable bulk csv import powerfeed to powerport"
"21869","2026-04-13T15:53:02Z","21899","EXCLUDED","2a no test file in diff","`ScriptModule.save()` triggers `sync_classes()` twice for a single save"
"21801","2026-04-09T17:47:55Z","21863","SURVIVOR","","Duplicate filename allowed when upload files using S3 storage"
"21529","2026-04-09T15:49:28Z","21861","SURVIVOR","","api - custom fields accepts/shows fields that do not exist in changelog"
"21704","2026-04-09T14:41:16Z","21859","EXCLUDED","2a no test file in diff","Device-type YAML export is missing mappings"
"21835","2026-04-07T20:50:42Z","21852","EXCLUDED","2a no test file in diff","Tag UI doesn't allow for manual color input, help text implies this should be possible"
"21814","2026-04-07T16:11:14Z","21853","EXCLUDED","2a no test file in diff","Custom script ""last run"" shows the last creation time, not the start time"
"21841","2026-04-07T15:48:41Z","21851","EXCLUDED","2a no test file in diff","Script module Edit button hidden for non-superusers"
"21845","2026-04-07T15:38:24Z","21850","EXCLUDED","2a no test file in diff","Connection column CSV export renders template whitespace instead of formatted value"
"21542","2026-04-03T21:55:13Z","21834","SURVIVOR","","Interface speed field (32-bit) overflows for LAG interfaces exceeding ~2.1 Tbps"
"21833","2026-04-03T09:31:10Z",,"EXCLUDED","4d not closed-as-completed","Issues navigating to devices in Virtual Chassis"
"21541","2026-04-03T08:30:52Z",,"EXCLUDED","4d not closed-as-completed","""is [not] empty"" filter expects value"
"21535","2026-04-02T23:17:51Z","21829","SURVIVOR","","Exception raised when search a custom field related to object with ""is empty"" filter"
"21498","2026-04-02T22:49:44Z","21815","SURVIVOR","","Eventrules in v4.5.2 and v4.5.3 result in server error"
"21825","2026-04-02T20:20:55Z","21826","EXCLUDED","2a no test file in diff","Several list tables expose broken sortable columns"
"21823","2026-04-02T16:03:02Z",,"EXCLUDED","4d not closed-as-completed","LAG inteface view raise dcim.models.device_components.Interface.virtual_circuit_termination.RelatedObjectDoesNotExist"
"21818","2026-04-02T12:49:32Z",,"EXCLUDED","4d not closed-as-completed","Action buttons show up for users that have restricted permissions but no permissions for that specific object"
"21821","2026-04-02T11:49:19Z",,"EXCLUDED","4d not closed-as-completed","v4.5.6 - virtual interface error, gui not loading"
"20474","2026-04-01T23:19:45Z","21740","SURVIVOR","","Cannot install module with placeholder values in a module bay tree 2 in tree but 1 placeholders given."
"21784","2026-04-01T16:36:23Z","21817","SURVIVOR","","AttributeError when trying to sort table without being logged in"
"21533","2026-04-01T16:25:02Z","21546","SURVIVOR","","API responses missing read-only fields (e.g., `family`) upon creation"
"21808","2026-04-01T16:06:20Z","21811","EXCLUDED","2a no test file in diff","virtual_circuit_termination.RelatedObjectDoesNotExist error on virtual interfaces"
"21810","2026-04-01T12:59:41Z","21812","EXCLUDED","2a no test file in diff","'Device' object has no attribute 'master'"
"21426","2026-03-31T13:49:12Z",,"EXCLUDED","4d not closed-as-completed","Custom field (type object) pointed to Device Role  - Field 'id' expected a number but got 'true'."
"21749","2026-03-31T12:18:38Z","21764","SURVIVOR","","CircuitGroupAssignmentTable FieldError when sorting by member column (GenericForeignKey missing orderable=False)"
"21786","2026-03-30T21:31:43Z","21787","EXCLUDED","2a no test file in diff","Revert bug fix for #21747"
"21763","2026-03-30T15:23:38Z","21778","SURVIVOR","","Site edit page fails to load with a very large number of ASNs assigned"
"20882","2026-03-28T04:37:49Z",,"EXCLUDED","4d not closed-as-completed","Platform manufacturer filtering is inconsistent - allows selection after removal but not before"
"21776","2026-03-27T19:38:12Z",,"EXCLUDED","4d not closed-as-completed","Changing Interface on a cable throws an error."
"21768","2026-03-27T09:34:37Z",,"EXCLUDED","4d not closed-as-completed","EventRules throw a `'NoneType' object is not callable` error when triggered"
"21767","2026-03-27T08:41:22Z",,"EXCLUDED","4d not closed-as-completed","Search for empty custom field not working"
"21755","2026-03-26T17:49:21Z",,"EXCLUDED","4d not closed-as-completed","Unable to see more than 100 items in a list"
"21747","2026-03-26T16:13:30Z","21748","EXCLUDED","2a no test file in diff","The search backend should silently fail on SQL schema issues when running in a migration"
"20467","2026-03-25T19:45:50Z","21752","SURVIVOR","","The ""Position"" field doesn't resolve the {module} variable in nested modules"
"21698","2026-03-24T18:25:02Z","21721","EXCLUDED","2a no test file in diff","Custom Field URL Filter is too restrictive for weird ports"
"21734","2026-03-24T09:56:25Z",,"EXCLUDED","4d not closed-as-completed","Filter lookup `empty` on object custom fields is broken in web UI"
"21707","2026-03-23T23:07:22Z","21708","EXCLUDED","2a no test file in diff","Provider Account add/edit forms do not group `owner` with `owner_group`"
"21718","2026-03-20T11:54:52Z",,"EXCLUDED","4d not closed-as-completed","[Device] - Render Config - Permission denied"
"21713","2026-03-20T10:10:24Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","Type StrFilterLookup is defined multiple times in the schema"
"21552","2026-03-19T04:53:59Z",,"EXCLUDED","4d not closed-as-completed","Front port bulk import uses wrong field options"
"21686","2026-03-17T17:16:24Z","21689","SURVIVOR","","Editing Circuit Termination Circuit leaves orphaned association."
"21556","2026-03-17T16:06:15Z","21649","EXCLUDED","2a no test file in diff","Update Device Type remove the Platform"
"21653","2026-03-17T13:16:05Z","21681","SURVIVOR","","CablePath.from_origin() discards multi-position cable positions during profile-based tracing"
"21673","2026-03-17T07:54:04Z","21685","EXCLUDED","2a no test file in diff","UI Bug with Displaying Primary IP Address with NAT IP on a Virtual Machine"
"21579","2026-03-13T21:08:06Z","21628","EXCLUDED","2a no test file in diff","Scripts: ""ÔÇÿAdd"" button is displayed even without required permissions"
"20077","2026-03-12T18:49:46Z","21645","EXCLUDED","2a no test file in diff","GUI bugging out when using saved info"
"21651","2026-03-12T18:49:00Z","21659","EXCLUDED","2a no test file in diff","mac address list display error"
"21657","2026-03-12T17:54:14Z",,"EXCLUDED","4d not closed-as-completed","decimal custom field - 'is empty' filter causes warning when going back to filter page"
"20934","2026-03-12T16:38:06Z","21650","EXCLUDED","2a no test file in diff","Darkmode flickers on page load"
"21580","2026-03-12T16:30:42Z","21634","EXCLUDED","2a no test file in diff","Virtual Machines: ""Add components"" button is displayed even without required permissions"
"21440","2026-03-12T12:31:42Z","21608","SURVIVOR","","out of band ip import"
"21618","2026-03-12T12:23:36Z","21625","SURVIVOR","","Cable termination points lost on bulk-changing cable profile"
"21576","2026-03-10T13:35:10Z",,"EXCLUDED","4d not closed-as-completed","Edit button visible despite object permission constraint on Interface"
"21627","2026-03-10T13:29:11Z",,"EXCLUDED","4d not closed-as-completed","Server Error"
"21468","2026-03-09T15:54:02Z","21577","SURVIVOR","","`copy_safe_request()` sheds unrecognized but safe HTTP headers"
"20385","2026-03-09T13:58:24Z","21617","SURVIVOR","","`MAX_PAGE_SIZE` does not apply to GraphQL API requests"
"21539","2026-03-08T22:41:10Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","Patch panel mappings not being created from YAML import"
"21531","2026-03-06T17:54:12Z","21599","EXCLUDED","2a no test file in diff","Filtering locations by tenant group and ""q"" results in Server Error"
"21512","2026-03-06T17:23:46Z","21602","EXCLUDED","2a no test file in diff","Device-Filter for console_ports in GraphQL shows error"
"20915","2026-03-06T16:00:35Z","21590","EXCLUDED","2a no test file in diff","Language not re-applied on login with social-app-django"
"21467","2026-03-06T15:00:42Z",,"EXCLUDED","4d not closed-as-completed","Associating a cluster to a device triggers a server error"
"21408","2026-03-06T14:58:41Z",,"EXCLUDED","4d not closed-as-completed","not able to add or remove objects in netbox version 4.5.1"
"21511","2026-03-06T14:55:38Z",,"EXCLUDED","4d not closed-as-completed","Side menu bar broken in Firefox"
"21486","2026-03-06T14:52:28Z","21603","EXCLUDED","2a no test file in diff","NetBoxFakeRequest object has no attribute 'COOKIES'"
"21012","2026-03-06T14:18:35Z","21597","EXCLUDED","2a no test file in diff","VLAN list on interface caps out at 100 with no warning"
"21585","2026-03-06T12:26:14Z",,"EXCLUDED","4d not closed-as-completed","ERROR ""TypeError argument of type 'NoneType' is not iterable"" when trying to Log Out"
"21380","2026-03-06T06:45:02Z","21598","EXCLUDED","2a no test file in diff","Background Tasks Workers Table Column Not Properly Displayed On Mobile"
"21526","2026-03-05T20:40:13Z",,"EXCLUDED","4d not closed-as-completed","RecursionError at / - maximum recursion depth exceeded"
"21586","2026-03-05T18:59:19Z","21591","EXCLUDED","2a no test file in diff","The link to create a new site group leads to the New Region endpoint"
"20468","2026-03-05T16:10:51Z","21589","SURVIVOR","","Range-Lookup not working for `vc_position` in GraphQL"
"19867","2026-03-05T14:56:33Z","21588","EXCLUDED","2a no test file in diff","Elements per page setting is discarded after editing an object"
"20894","2026-03-05T14:23:18Z",,"EXCLUDED","4d not closed-as-completed","Nav Menu DoesnÔÇÖt Collapse On Selection For Mobile"
"21557","2026-03-05T13:06:24Z",,"EXCLUDED","4d not closed-as-completed","Apply new table configuration overwrite existing object filter"
"21347","2026-03-03T16:26:45Z","21547","SURVIVOR","","Assigning IPv6 address to prefix from available pool starts from 0 instead of 1"
"21524","2026-03-03T15:37:46Z","21525","EXCLUDED","2a no test file in diff","An `IndexError` exception can be raised if stale cable paths exist"
"21429","2026-03-03T14:44:36Z","21453","EXCLUDED","2a no test file in diff","Cable ""Create & Add Another"" does not carry over termination types"
"21550","2026-03-03T13:01:05Z","21551","EXCLUDED","2a no test file in diff","Audit for missing pre-change snapshot calls"
"21527","2026-03-02T13:57:53Z","21530","EXCLUDED","2a no test file in diff","UI Bug with Displaying Primary IP Address with NAT IP on a Device"
"21381","2026-03-01T04:53:41Z",,"EXCLUDED","4d not closed-as-completed","4.5.0 to 4.5.2 - upgrade warning messages"
"19972","2026-03-01T04:38:17Z",,"EXCLUDED","4d not closed-as-completed","Netbox querying LDAP without credentials after session has been created"
"21518","2026-02-27T17:13:54Z","21523","EXCLUDED","2a no test file in diff","decimal custom field - value of 0.0 shows as if field is unset"
"21461","2026-02-26T06:16:16Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","Installation or upgrade fails if accessing Redis over UNIX socket"
"21481","2026-02-25T20:20:53Z","21482","EXCLUDED","2a no test file in diff","Facility ID doesn't show in rack page."
"21510","2026-02-24T15:03:31Z",,"EXCLUDED","4d not closed-as-completed","Search function seems broken in 4.5.3 when searching custom field data"
"21505","2026-02-23T11:41:56Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","device manufacturer / model is missing from device object view"
"20609","2026-02-21T04:31:06Z",,"EXCLUDED","4d not closed-as-completed","Swagger API documentation forgets the ""Token"" in authorization header"
"21478","2026-02-20T14:27:38Z","21479","EXCLUDED","2a no test file in diff","GraphQL union type resolution for connected endpoints uses `ConsolePortType` instead of `ConsolePort`"
"20911","2026-02-20T14:03:48Z","21101","EXCLUDED","2a no test file in diff","change 'module bay' sorting to be alphabetical when installing module"
"21490","2026-02-19T15:16:47Z",,"EXCLUDED","4d not closed-as-completed","Cannot filter on interfaces where `mark_connected` is true."
"21406","2026-02-19T13:29:06Z",,"EXCLUDED","4d not closed-as-completed","Changes in REMOTE_AUTH do not apply"
"20490","2026-02-18T20:37:41Z","21212","EXCLUDED","2a no test file in diff","Do not display scripts in the scripts list view if the user does not have permission to view them"
"21371","2026-02-17T13:16:00Z","21447","SURVIVOR","","Fail to trigger webhook when script job is completed"
"21412","2026-02-16T17:17:52Z","21415","EXCLUDED","2a no test file in diff","`AttributeError` exception raised on initialization when a plugin has local imports in `__init__.py`"
"21397","2026-02-16T13:54:35Z","21399","EXCLUDED","2a no test file in diff","Circuit-type ownership is not functioning as expected."
"21375","2026-02-16T13:53:17Z","21378","EXCLUDED","2a no test file in diff","ipam.0070_vlangroup_vlan_id_ranges fails during upgrade to v4.5.1: search indexer tries to read missing VLANGroup.comments"
"21127","2026-02-13T18:36:10Z",,"EXCLUDED","1 no single merged fixing PR (count=2)","Cable connection cleanup"
"21390","2026-02-13T18:27:26Z","21423","EXCLUDED","2a no test file in diff","ChangeLog for second interface after connect circuit"
"21425","2026-02-13T11:14:55Z",,"EXCLUDED","4d not closed-as-completed","The rack name must be unique in Site."
"21414","2026-02-13T10:50:54Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","Netbox upgrade from v4.2.4 to v4.5.2 fails on database migration"
"21277","2026-02-13T10:41:42Z",,"EXCLUDED","1 no single merged fixing PR (count=2)","Pre-change snapshot is not recorded when adding cluster members via UI"
"20580","2026-02-13T04:38:04Z",,"EXCLUDED","4d not closed-as-completed","Related Objects not clickable in Custom Fields"
"20435","2026-02-12T10:30:34Z","21403","EXCLUDED","2a no test file in diff","Margin problem in the UI on the navigation menu"
"21358","2026-02-11T23:21:51Z","21391","SURVIVOR","","Exception when sorting by Token"
"21354","2026-02-11T19:35:14Z","21392","EXCLUDED","2a no test file in diff","Swagger-UI generates wrong URL's when BASE_PATH is used"
"20677","2026-02-09T15:18:44Z",,"EXCLUDED","4d not closed-as-completed","Permission Constraints dont work as intended"
"21197","2026-02-04T04:49:10Z",,"EXCLUDED","4d not closed-as-completed","Running a script manually breaks the schedule"
"21320","2026-02-03T15:32:09Z","21321","EXCLUDED","2a no test file in diff","Rack Direct Import - ""Rack has no site."""
"21168","2026-02-02T21:05:10Z","21344","EXCLUDED","2a no test file in diff","change ""create & add another"" behavior for application services"
"20902","2026-02-02T19:16:33Z","21252","SURVIVOR","","HTTPS Credentials with Data Sources and git with Bitbucket API Keys no longer working"
"21233","2026-02-02T16:17:32Z","21314","EXCLUDED","2a no test file in diff","UI Add horizontal padding to Release info section in Navigation menu"
"21269","2026-01-29T22:37:58Z","21308","SURVIVOR","","front port mappings do not come over when installing a module with front ports"
"21129","2026-01-29T20:29:34Z","21309","SURVIVOR","","RQ Jobs in non-model/default queues are kept when Jobs are deleted in DB and reinsert themselves"
"21318","2026-01-29T11:00:45Z",,"EXCLUDED","4d not closed-as-completed","When adding a module with front and rear ports to the device, no port mapping between the front and rear port"
"21262","2026-01-28T20:19:45Z","21306","EXCLUDED","2a no test file in diff","Scope and Scope type does not  get clone to child prefix"
"20977","2026-01-28T14:35:35Z","21295","SURVIVOR","","Run Again button does not respect script variable defaults"
"21254","2026-01-28T14:28:23Z","21282","EXCLUDED","2a no test file in diff","AttributeError: 'Version' object has no attribute 'dict' with packaging 26.0"
"21176","2026-01-27T15:08:39Z","21281","SURVIVOR","","Nothing happens if IP addresses and IP ranges are deleted at the same time"
"21305","2026-01-27T11:29:13Z",,"EXCLUDED","4d not closed-as-completed","Gap between Search and Sidebar on some Pages (The Dashboard)"
"20212","2026-01-27T00:35:37Z","788","EXCLUDED","2a no test file in diff","Thumbnails don't work with S3 storage"
"21202","2026-01-26T22:14:37Z","21265","EXCLUDED","2a no test file in diff","ScopedForm clears `scope` on clone because it doesnÔÇÖt distinguish cloning from editing"
"21115","2026-01-26T20:01:23Z","21245","EXCLUDED","2a no test file in diff","module type profiles custom JSON properties not being exported into YAML"
"21242","2026-01-26T19:34:48Z","21283","EXCLUDED","2a no test file in diff","Admin Menu is (mostly) missing for user with all permissions but no superuser status"
"21173","2026-01-26T18:34:58Z","21248","EXCLUDED","2a no test file in diff","Plugin Menu Registration Order"
"21206","2026-01-26T13:02:17Z",,"EXCLUDED","4d not closed-as-completed","L2VPNTerminationImportForm bulk update validation fails when interface/vlan fields omitted"
"21290","2026-01-26T11:50:13Z",,"EXCLUDED","4d not closed-as-completed","Additional white space column added when page extends beyond screen"
"20383","2026-01-23T17:26:28Z","21182","EXCLUDED","2a no test file in diff","When editing Device, removing Rack attribute does not remove Rack Face attribute"
"21214","2026-01-21T22:38:28Z","21219","SURVIVOR","","AutoSyncRecord not cleaned up when detaching Config Template from Data Source"
"21243","2026-01-21T14:04:20Z",,"EXCLUDED","4d not closed-as-completed","Native <optgroup> elements behave as sticky headers in Object Types multi-select"
"21167","2026-01-20T21:10:24Z",,"EXCLUDED","4d not closed-as-completed","Multiple housekeeping jobs are created and numbers are doubled each day"
"21139","2026-01-20T17:10:29Z","21192","EXCLUDED","2a no test file in diff","api /api/core does not support fields filter"
"21213","2026-01-20T16:50:33Z","21218","EXCLUDED","2a no test file in diff","Tag weight field allows empty value despite database constraint"
"21231","2026-01-20T16:15:15Z","21237","EXCLUDED","2a no test file in diff","ObjectTypeManager introspection not cached"
"21181","2026-01-20T16:07:20Z","21224","EXCLUDED","2a no test file in diff","Error 500 when supplying wrong Authorization token"
"21082","2026-01-19T16:28:10Z",,"EXCLUDED","4d not closed-as-completed","Unable to free a OOB IP from a device and reassign it"
"21208","2026-01-19T15:30:38Z",,"EXCLUDED","4d not closed-as-completed","slow response when selecting prefix list"
"21039","2026-01-19T14:56:08Z","21184","EXCLUDED","2a no test file in diff","avif and potential other image formats missing in list of acceptable extensions for handling filenames in image_upload"
"21051","2026-01-19T14:30:38Z","21188","EXCLUDED","2a no test file in diff","ObjectPermission object type selector includes internal/third-party models"
"21166","2026-01-19T13:54:40Z","21186","EXCLUDED","2a no test file in diff","4 Byte ASN filtering doesn't work via GraphQL"
"21160","2026-01-16T22:34:13Z",,"EXCLUDED","1 no single merged fixing PR (count=2)","""/dcim/interfaces"" not loading after v4.5.0 upgrade"
"21198","2026-01-16T18:36:13Z",,"EXCLUDED","4d not closed-as-completed","Unable to associate front ports to rear ports on a module type"
"21124","2026-01-16T13:28:40Z","21154","EXCLUDED","2a no test file in diff","Cannot map front port in module template since 4.5.0"
"21134","2026-01-16T09:23:29Z","21180","EXCLUDED","2a no test file in diff","Bulk rename Module Type reports ""None"""
"21140","2026-01-16T07:35:36Z","21153","EXCLUDED","2a no test file in diff","The translations on several pages are not working since v4.5.0"
"21118","2026-01-15T22:48:03Z","21164","EXCLUDED","2a no test file in diff","Updating a Site with a lot of Related Objects fails"
"21050","2026-01-15T22:47:02Z","21143","EXCLUDED","2a no test file in diff","Device OOB IP may become orphaned"
"21097","2026-01-15T22:44:24Z","21100","EXCLUDED","2a no test file in diff","GraphQL API does not support numeric comparisons for `id` filter"
"21141","2026-01-15T20:26:59Z",,"EXCLUDED","4d not closed-as-completed","Time and Date are not displayed as expected"
"20933","2026-01-15T19:37:18Z","21158","SURVIVOR","","ConfigContext API ignores data_path and data_file for Git data sources"
"21175","2026-01-15T17:47:06Z","21177","EXCLUDED","2a no test file in diff","Pending migration warning when `DEFAULT_LANGUAGE` is non-English"
"21152","2026-01-15T17:24:08Z",,"EXCLUDED","4d not closed-as-completed","Insufficient read permissions lead to unintended relationship deletion"
"21090","2026-01-15T16:57:53Z",,"EXCLUDED","4d not closed-as-completed","Changes to site object result in associated prefixes appearing in change log"
"20239","2026-01-14T20:50:36Z","21099","SURVIVOR","","`PluginMenuItem` and `PluginMenuButton` Share Mutable State Between Instances"
"21146","2026-01-14T13:06:39Z",,"EXCLUDED","4d not closed-as-completed","Unable to create port mappings on module types"
"21149","2026-01-14T12:26:52Z",,"EXCLUDED","4d not closed-as-completed","GraphiQL explorer just shows a white page"
"21109","2026-01-13T17:47:06Z",,"EXCLUDED","4d not closed-as-completed","Cable traces for circuit terminations do not work when connecting to front port"
"21102","2026-01-13T17:34:00Z","21135","EXCLUDED","2a no test file in diff","""Show GraphiQL Explorer"" button not working in 4.5.0"
"21117","2026-01-12T21:40:43Z","21132","SURVIVOR","","Unable to create v2 API tokens in 4.5 (API_TOKEN_PEPPERS is not defined)"
"19438","2026-01-12T19:27:29Z",,"EXCLUDED","4d not closed-as-completed","Create a config context based on a data source not possible via API"
"19901","2026-01-07T15:19:03Z","21080","EXCLUDED","2a no test file in diff","Error when import modules into device that doesn't have a name"
"20950","2026-01-06T15:38:43Z","21005","EXCLUDED","2a no test file in diff","ModuleBay API GET - Missing Properties"
"21067","2026-01-06T14:49:10Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","IndexError when changing cable profile"
"21049","2026-01-06T01:19:48Z","21065","SURVIVOR","","Ignore stale custom field data when validating an object"
"21064","2026-01-05T21:38:17Z","21070","SURVIVOR","","Escaped colon in custom field choice is not preserved on edit"
"21063","2026-01-05T19:10:06Z","21066","EXCLUDED","2a no test file in diff","Custom Field Choice Set: Duplicate values result in missing options in Selection field UI"
"20857","2026-01-01T04:34:53Z",,"EXCLUDED","4d not closed-as-completed","Incorrect API result ""virtual_disk_count"" for some VM"
"19506","2025-12-31T15:50:40Z","21057","EXCLUDED","2a no test file in diff","Filtering MultiObjectVar for Custom Field does not works for related object = Module Bay Template"
"21045","2025-12-30T17:26:49Z","21056","SURVIVOR","","Unable to update the site"
"20320","2025-12-30T16:17:15Z","21006","SURVIVOR","","Related Interfaces are grayed out on multi inferface edit"
"20817","2025-12-30T16:05:09Z","21055","EXCLUDED","2a no test file in diff","Data Sources remove sync interval"
"21036","2025-12-30T14:45:12Z",,"EXCLUDED","4d not closed-as-completed","Visual Bug in the permissions page using Edge"
"20044","2025-12-29T22:27:04Z","21037","EXCLUDED","2a no test file in diff","Rack visualization is stuck at light mode"
"21020","2025-12-29T21:19:37Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","Image attachment card shows every image instead of related"
"21032","2025-12-23T15:15:07Z","21033","EXCLUDED","2a no test file in diff","RestrictedQuerySet should skip secondary filtering when no constraints are in place"
"20756","2025-12-23T04:26:22Z",,"EXCLUDED","4d not closed-as-completed","Unable to trace the front-rear port connection after importing connections from CSV"
"21022","2025-12-22T19:31:13Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","Owner field missing from several REST API serializers"
"21011","2025-12-22T19:19:21Z","21029","EXCLUDED","2a no test file in diff","`InternalError: cannot execute UPDATE` with read-only DB replica"
"20011","2025-12-22T19:12:37Z","21000","SURVIVOR","","Misleading Error Message and Logging Issue in Bulk Import"
"20948","2025-12-22T18:19:03Z","20949","EXCLUDED","2a no test file in diff","On delete order was breaked with RESTRICT action"
"20358","2025-12-22T15:28:45Z",,"EXCLUDED","4d not closed-as-completed","Config context API queries still slow for large installations despite DISTINCT optimization"
"20944","2025-12-22T14:48:44Z","20986","EXCLUDED","2a no test file in diff","Related objects ""clusters"" not updated for site-group"
"20114","2025-12-19T23:05:34Z","21019","EXCLUDED","2a no test file in diff","Bulk device import no longer works with parent/child devices when ""tags"" present in import data"
"20997","2025-12-18T19:10:33Z",,"EXCLUDED","1 no single merged fixing PR (count=0)","Ownership model is missing at permission object types"
"20824","2025-12-18T18:52:21Z",,"EXCLUDED","4d not closed-as-completed","The oldest config revision is activated when replicating NetBox"
"20876","2025-12-17T18:03:46Z","21002","EXCLUDED","2a no test file in diff","Editing IP inside a populated range fails with error: Cannot create IP address inside range"
"20565","2025-12-17T14:35:35Z",,"EXCLUDED","4d not closed-as-completed","Cannot add cable between patch panels -""All mid-span terminations must all be attached to the same device"""
"20491","2025-12-16T20:40:46Z","20963","SURVIVOR","","Generic API test harness miscompares `ArrayField(IntegerRangeField)` values (`NumericRange` vs inclusive pairs)"
"20969","2025-12-16T19:23:19Z","20987","EXCLUDED","2a no test file in diff","Front port templates: No results when rear_port_id filter is set"
"20912","2025-12-12T21:32:00Z","20974","SURVIVOR","","Module Bay Parent relation is partially broken"
"20875","2025-12-12T19:29:35Z","20956","EXCLUDED","2a no test file in diff","Interface does not appear under interfaces' site filter"
"20966","2025-12-12T00:44:17Z","20967","EXCLUDED","2a no test file in diff","Choices list scrolling bug in Edge/Chrome (ok in FireFox)"
"17976","2025-12-12T00:42:27Z","20958","SURVIVOR","","DeviceType_Count on Manufacturer"
"20560","2025-12-12T00:41:00Z","20937","SURVIVOR","","Bulk import prefixes with associated VLAN not working when multiple VLANs with the same vid exist. #18582"
"20873","2025-12-10T04:06:12Z","20955","EXCLUDED","2a no test file in diff","Event Rules on models that reference image files generate error"
"20759","2025-12-09T13:43:31Z","20931","SURVIVOR","","Unable to see full object type names when creating new permissions"
"19918","2025-12-08T15:06:47Z","20939","SURVIVOR","","Nested Module Bay Label's don't support {module} like Interface Label's do"
"20878","2025-12-03T23:47:32Z","20879","EXCLUDED","2a no test file in diff","Script run does not use database routing"
"20860","2025-12-01T23:04:23Z","20898","EXCLUDED","2a no test file in diff","Device interface missing changelog message on creation"
"20888","2025-12-01T18:35:45Z","20892","EXCLUDED","2a no test file in diff","Warnings about ""value should be an integer or Decimal instance"" after upgrade to 4.4.7"
"20852","2025-11-25T20:38:08Z",,"EXCLUDED","4d not closed-as-completed","Deletion of tag allowed when referenced in config context"
"20865","2025-11-25T18:52:05Z","20872","EXCLUDED","2a no test file in diff","Fix Longitude Field Validation Issue"
"20743","2025-11-25T14:21:40Z","20874","EXCLUDED","2a no test file in diff","ObjectChanges not created when running Script from EventRule"
"20822","2025-11-25T14:18:33Z","20855","EXCLUDED","2a no test file in diff","config-templates api, bulk edit & view forms are missing the ```auto_sync_enabled``` property"
"20839","2025-11-25T14:08:17Z","20847","EXCLUDED","2a no test file in diff","Object Type Filter is ignored in Custom Links & Saved Filters"
"20649","2025-11-25T00:28:36Z","20871","SURVIVOR","","API Endpoint /api/extras/scripts/ Exposes Script Metadata to Users Without Permissions"
"20859","2025-11-24T20:40:07Z","20870","EXCLUDED","2a no test file in diff","Dashboard crash 4.4.6"
"20638","2025-11-24T14:33:40Z","20777","SURVIVOR","","Swagger UI generating incorrect schemas for /users/users/ endpoint"
"19187","2025-11-23T04:13:04Z",,"EXCLUDED","4d not closed-as-completed","Wrong UN/LOCODEs in predefined base choice"
"19692","2025-11-23T04:13:03Z",,"EXCLUDED","4d not closed-as-completed","Unnecessary DB queries for API Endpoints"
"20856","2025-11-23T03:58:26Z",,"EXCLUDED","4d not closed-as-completed","manage.py full export complains about missing relation"
"20861","2025-11-21T20:39:44Z",,"EXCLUDED","4d not closed-as-completed","Python ""global flags not at the start of the expression"" on Device edit"
"20858","2025-11-21T13:20:03Z",,"EXCLUDED","4d not closed-as-completed","Scrollbar breaks div.page in chromium based browsers"
"20840","2025-11-20T20:00:55Z","20848","EXCLUDED","2a no test file in diff","RackType detail view and table reference `airflow`, but `RackType` has no `airflow` field"
"20827","2025-11-20T19:36:50Z","20835","EXCLUDED","2a no test file in diff","Light/Dark Theme toggle: Logo, button icon, and tooltip don't update until page refresh"
"20844","2025-11-20T19:26:10Z","20849","EXCLUDED","2a no test file in diff","Object Type filter is ignored for L2VPN Terminations"
"20740","2025-11-20T19:06:51Z","20830","EXCLUDED","2a no test file in diff","Permissions constraints are ignored when running script by API"
"20134","2025-11-20T17:04:39Z","20811","EXCLUDED","2a no test file in diff","htmx:oobErrorNoTarget on device page"
"20766","2025-11-20T00:07:13Z","20810","EXCLUDED","2a no test file in diff","German Static Media Failure file contains translated code"
"20798","2025-11-17T17:00:31Z",,"EXCLUDED","4d not closed-as-completed","Deleting a virtual chassis results in TypeError"
"20807","2025-11-17T15:10:00Z",,"EXCLUDED","4d not closed-as-completed","IP Address Filtering on a Device excludes FHRP Grps"
"20775","2025-11-17T13:52:00Z","20803","EXCLUDED","2a no test file in diff","Device bulk rename fails when a device with no name is selected"
